Player,Age,Team,Lg,WAR,PA,AB,R,HR,RBI,BB,SO,BA,HBP,IBB,K_Rate,BB_Rate,Salary,Team_Wins,Top_3_Round,College,All_Star
Bobby Witt Jr.,24,KCR,AL,9.4,709,636,125,32,109,57,106,0.332,8,9,14.951,8.039,3.111,86,Yes,No,Yes
Vladimir Guerrero Jr.,25,TOR,AL,6.2,697,616,98,30,103,72,96,0.323,5,12,13.773,10.330,19.9,74,No,No,Yes
Aaron Judge,32,NYY,AL,10.8,704,559,122,58,144,133,171,0.322,9,20,24.290,18.892,40,94,Yes,Yes,Yes
Shohei Ohtani*,29,LAD,NL,9.2,731,636,134,54,130,81,162,0.31,6,10,22.161,11.081,70,98,No,No,Yes
Yordan Alvarez*,27,HOU,AL,5.4,635,552,88,35,86,69,95,0.308,10,16,14.961,10.866,10.833,88,No,No,Yes
Marcell Ozuna,33,ATL,NL,4.3,688,606,96,39,104,74,170,0.302,3,2,24.709,10.756,18,89,No,No,Yes
Yainer Diaz,25,HOU,AL,3.2,619,585,70,16,84,24,107,0.299,2,1,17.286,3.877,0.768,88,No,No,No
Trea Turner,31,PHI,NL,3,539,505,88,21,62,27,98,0.295,6,0,18.182,5.009,27.272,95,Yes,Yes,Yes
Jose Altuve,34,HOU,AL,3.4,682,628,94,20,65,47,119,0.295,7,2,17.449,6.891,29,88,No,No,Yes
Brent Rooker,29,OAK,AL,5.6,614,546,82,39,112,59,177,0.293,5,4,28.827,9.609,0.75,69,Yes,Yes,Yes
Jackson Merrill*,21,SDP,NL,4.4,593,554,77,24,90,29,101,0.292,1,1,17.032,4.890,0.74,93,Yes,No,Yes
Ketel Marte#,30,ARI,NL,6.8,583,504,93,36,95,65,106,0.292,5,7,18.182,11.149,13.6,89,No,No,Yes
Steven Kwan*,26,CLE,AL,3.9,540,480,83,14,44,53,51,0.292,5,0,9.444,9.815,0.757,92,No ,Yes,Yes
Mookie Betts,31,LAD,NL,4.8,516,450,75,19,75,61,57,0.289,1,2,11.047,11.822,26.158,98,No,No,Yes
Juan Soto*,25,NYY,AL,7.9,713,576,128,41,109,129,119,0.288,4,2,16.690,18.093,31,94,No,No,Yes
Bryce Harper*,31,PHI,NL,4.8,631,550,85,30,87,76,138,0.285,2,11,21.870,12.044,27.538,95,Yes,Yes,Yes
Jarren Duran*,27,BOS,AL,8.7,735,671,111,21,75,54,160,0.285,6,1,21.769,7.347,0.76,81,No,Yes,Yes
Seiya Suzuki,29,CHC,NL,3.5,585,512,74,21,73,63,160,0.283,6,3,27.350,10.769,21,83,No,No,No
Freddie Freeman*,34,LAD,NL,4.7,638,542,81,22,89,78,100,0.282,10,9,15.674,12.226,25.144,98,Yes,No,Yes
Luis García Jr.*,24,WSN,NL,2.2,528,500,58,18,70,27,86,0.282,0,2,16.288,5.114,1.95,71,No,No,No
Gunnar Henderson*,23,BAL,AL,9.1,719,630,118,37,92,78,159,0.281,7,1,22.114,10.848,0.756,91,Yes,No,Yes
William Contreras,26,MIL,NL,4.9,679,595,99,23,92,78,139,0.281,3,5,20.471,11.487,0.766,93,No,No,Yes
Yandy Díaz,32,TBR,AL,1.6,621,563,55,14,65,50,95,0.281,4,0,15.298,8.052,8,80,No,No,Yes
Jurickson Profar#,31,SDP,NL,3.7,668,564,94,24,85,76,101,0.28,18,4,15.120,11.377,1,93,No,No,Yes
Alec Bohm,27,PHI,NL,3,606,554,62,15,97,40,86,0.28,6,2,14.191,6.601,4,95,Yes,Yes,Yes
José Ramírez#,31,CLE,AL,6.8,682,620,114,39,118,54,82,0.279,1,12,12.023,7.918,17,92,No,No,Yes
Lourdes Gurriel Jr.,30,ARI,NL,2.1,553,513,72,18,75,29,101,0.279,6,1,18.264,5.244,10,89,No,No,Yes
Corey Seager*,30,TEX,AL,5,533,475,68,30,74,53,96,0.278,3,11,18.011,9.944,35,78,Yes,No,Yes
